Folio,Team,Status
urn:cite:hmt:msA.164r,urn:cite:hmt:team.leiden,assigned
urn:cite:hmt:msA.164v,urn:cite:hmt:team.leiden,assigned
urn:cite:hmt:msA.165r,urn:cite:hmt:team.leiden,assigned
urn:cite:hmt:msA.165v,urn:cite:hmt:team.leiden,assigned
urn:cite:hmt:msA.166r,urn:cite:hmt:team.leiden,assigned
urn:cite:hmt:msA.166v,urn:cite:hmt:team.leiden,assigned
urn:cite:hmt:msA.167r,urn:cite:hmt:team.leiden,assigned
urn:cite:hmt:msA.167v,urn:cite:hmt:team.leiden,assigned
urn:cite:hmt:msA.168r,urn:cite:hmt:team.leiden,assigned
urn:cite:hmt:msA.168v,urn:cite:hmt:team.leiden,assigned
urn:cite:hmt:msA.169r,urn:cite:hmt:team.leiden,assigned
urn:cite:hmt:msA.169v,urn:cite:hmt:team.trinity,assigned
urn:cite:hmt:msA.170r,urn:cite:hmt:team.trinity,assigned
urn:cite:hmt:msA.170v,urn:cite:hmt:team.trinity,assigned
urn:cite:hmt:msA.171r,urn:cite:hmt:team.trinity,assigned
urn:cite:hmt:msA.171v,urn:cite:hmt:team.trinity,assigned
urn:cite:hmt:msA.172r,urn:cite:hmt:team.trinity,assigned
urn:cite:hmt:msA.172v,urn:cite:hmt:team.trinity,assigned
urn:cite:hmt:msA.173r,urn:cite:hmt:team.trinity,assigned
urn:cite:hmt:msA.174v,urn:cite:hmt:team.trinity,assigned
urn:cite:hmt:msA.174r,urn:cite:hmt:team.trinity,assigned
urn:cite:hmt:msA.174v,urn:cite:hmt:team.trinity,assigned
urn:cite:hmt:msA.175r,urn:cite:hmt:team.gustavus,assigned
urn:cite:hmt:msA.175v,urn:cite:hmt:team.gustavus,assigned
urn:cite:hmt:msA.176r,urn:cite:hmt:team.gustavus,assigned
urn:cite:hmt:msA.176v,urn:cite:hmt:team.gustavus,assigned
urn:cite:hmt:msA.177r,urn:cite:hmt:team.gustavus,assigned
urn:cite:hmt:msA.177v,urn:cite:hmt:team.gustavus,assigned
urn:cite:hmt:msA.178r,urn:cite:hmt:team.gustavus,assigned
urn:cite:hmt:msA.178v,urn:cite:hmt:team.gustavus,assigned
urn:cite:hmt:msA.179r,urn:cite:hmt:team.gustavus,assigned
urn:cite:hmt:msA.179v,urn:cite:hmt:team.gustavus,assigned
urn:cite:hmt:msA.180r,urn:cite:hmt:team.gustavus,assigned
urn:cite:hmt:msA.206r,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.206v,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.207r,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.207v,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.208r,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.208v,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.209r,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.209v,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.210r,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.210v,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.211r,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.211v,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.212r,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.212v,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.213r,urn:cite:hmt:team.fu,assigned
urn:cite:hmt:msA.213v,urn:cite:hmt:team.fu,assigned



